City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,Okha,53.5739,142.9478,13.3,52,46,3.64,RU,1663391054
221,Komsomolskiy,40.4272,71.7189,24.4,25,37,1.03,UZ,1663391054
222,Soe,-9.8607,124.284,32.23,20,77,4.92,ID,1663391054
223,Guymon,36.6828,-101.4816,24.0,53,0,5.66,US,1663391054
224,Wenling,28.3669,121.36,29.18,60,0,3.36,CN,1663391055
225,Hobyo,5.3505,48.5268,26.02,76,68,9.14,SO,1663391055
226,Inzer,54.2167,57.5556,12.37,89,99,1.46,RU,1663391055
227,Portland,45.5234,-122.6762,18.03,77,76,2.24,US,1663390845
228,Boyolangu,-8.1181,111.8935,29.29,60,47,4.74,ID,1663391055
229,Novo Aripuana,-5.1206,-60.3797,26.72,59,100,1.06,BR,1663391056
230,Saint George,37.1041,-113.5841,24.97,45,40,1.79,US,1663391056
231,Cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1663391056
232,Bang Krathum,16.5783,100.3003,31.66,78,99,3.16,TH,1663390901
233,Rosetta,31.4044,30.4164,24.57,67,0,1.21,EG,1663391057
234,Salalah,17.0151,54.0924,28.05,83,75,0.51,OM,1663391057
235,Ust-Kulom,61.6864,53.6902,10.8,77,100,3.24,RU,1663391058
236,Manaure,11.7751,-72.4445,28.16,75,86,2.43,CO,1663391058
237,Cabedelo,-6.9811,-34.8339,22.94,81,30,4.31,BR,1663391058
238,Potiskum,11.7091,11.0694,22.8,89,100,3.55,NG,1663391059
239,Isangel,-19.55,169.2667,24.3,71,85,6.24,VU,1663391059
240,Lichtenburg,-26.152,26.1597,15.3,33,0,3.46,ZA,1663391059
241,Saint-Philippe,-21.3585,55.7679,23.77,80,42,7.08,RE,1663391059
242,Narasannapeta,18.4167,84.05,30.95,64,100,2.31,IN,1663391060
243,Vajszlo,45.8596,17.9841,12.94,90,100,5.14,HU,1663391061
244,Shache,38.4167,77.2406,27.29,17,100,4.5,CN,1663391061
245,Coxim,-18.5067,-54.76,25.0,45,62,3.79,BR,1663391061
246,Trincomalee,8.5711,81.2335,31.29,57,84,5.33,LK,1663391062
247,Taitung,22.7583,121.1444,31.15,70,75,3.09,TW,1663390805
248,Pusad,19.9,77.5833,26.96,77,77,5.44,IN,1663390903
249,Bethel,41.3712,-73.414,17.03,84,20,1.54,US,1663391062
250,Iqaluit,63.7506,-68.5145,3.72,86,71,1.59,CA,1663390948
251,Kirakira,-10.4544,161.9205,28.92,72,32,4.52,SB,1663391063
252,Hasaki,35.7333,140.8333,29.22,68,100,3.33,JP,1663390980
253,Codrington,-38.2667,141.9667,11.51,87,97,11.77,AU,1663391064
254,Borgo San Dalmazzo,44.333,7.4858,14.9,78,82,1.22,IT,1663391064
255,Podgorica,42.4411,19.2636,23.72,100,100,4.63,ME,1663391064
256,Faya,18.3851,42.4509,22.29,29,34,2.88,SA,1663391064
257,Khachrod,23.4167,75.2833,25.62,82,98,5.61,IN,1663391065
258,Hovd,48.0056,91.6419,9.74,50,83,3.92,MN,1663391065
259,Cherskiy,68.75,161.3,3.26,68,94,8.23,RU,1663391065
260,Riberalta,-10.9833,-66.1,22.33,55,52,1.25,BO,1663391065
261,Bathsheba,13.2167,-59.5167,29.34,79,40,8.75,BB,1663391065
262,Loukhi,66.0764,33.0381,9.22,97,100,5.31,RU,1663391066
263,Kropotkin,45.4375,40.5756,21.21,82,69,4.5,RU,1663391067
264,Kuusamo,65.9667,29.1833,9.02,100,100,3.6,FI,1663391067
265,Valparaiso,-33.0393,-71.6273,13.33,100,100,2.26,CL,1663391067
266,Cap Malheureux,-19.9842,57.6142,24.15,63,0,3.58,MU,1663391067
267,Lethem,3.3803,-59.7968,24.85,79,47,0.89,GY,1663391067
268,Port Lincoln,-34.7333,135.8667,14.29,67,30,11.48,AU,1663391068
269,Raudeberg,61.9875,5.1352,9.37,1,100,13.9,NO,1663391068
270,Dwarka,22.2394,68.9678,27.61,72,100,6.88,IN,1663391068
